TEAM,REGION,POWER RATING
Villanova 1,East,99.1
Michigan 3,West,94
Loyola (IL) 11,South,87.3
Kansas 1,Midwest,92.4
Kansas State 9,South,87.4
Florida State 9,West,87.5
Duke 2,Midwest,94.6
Texas Tech 3,East,89.2
Kentucky 5,South,90.5
Nevada 7,South,84.5
Gonzaga 4,West,90.1
Texas A&M 7,West,88.1
Clemson 5,Midwest,87.6
Syracuse 11,Midwest,84.6
W. Virginia 5,East,91.2
Purdue 2,East,90
UMBC 16,South,77.7
Buffalo 13,South,83.4
Tennessee 3,South,87.5
Cincinnati 2,South,91.2
Xavier 1,West,88.9
Ohio State 5,West,86
Houston 6,West,86.5
UNC 2,West,90.7
Seton Hall 8,Midwest,86
Auburn 4,Midwest,84.3
Michigan St. 3,Midwest,91.8
Rhode Island 7,Midwest,83.8
Alabama 9,East,83
Marshall 13,East,77.9
Florida 6,East,87.2
Butler 10,East,86
Virginia 1,South,93.1
Creighton 8,South,83.4
Davidson 12,South,81.9
Arizona 4,South,87.9
Miami 6,South,83.9
Wright State 14,South,74.3
Texas 10,South,82.9
Georgia St. 15,South,76
TXSO 16,West,69.4
Missouri 8,West,78.5
S. Dakota St. 12,West,78.1
UNC-Greens. 13,West,78
SDSU 11,West,81.7
Montana 14,West,76.8
Providence 10,West,81.3
Lipscomb 15,West,72.5
Penn 16,Midwest,75.6
NC State 9,Midwest,81.7
NM State 12,Midwest,79.8
Charleston 13,Midwest,76.4
TCU 6,Midwest,84.8
Bucknell 14,Midwest,78.3
Oklahoma 10,Midwest,82.1
Iona 15,Midwest,74.8
Radford 16,East,71.6
Virginia Tech 8,East,83.4
Murray St. 12,East,78.9
Wichita St. 4,East,88
St. Bon. 11,East,81.4
SF Austin 14,East,74.8
Arkansas 7,East,83.3
CSU-Full. 15,East,71.9
NC Central 16,West,65.3
Arizona St. 11,Midwest,81.3
Long Island 16,East,67.6
UCLA 11,East,83.2